model,family,architecture,n_rows,summarization_score_mean,summarization_score_std,summarization_score_min,summarization_score_max,summarization_score_n,hallucination_score_mean,hallucination_score_std,hallucination_score_min,hallucination_score_max,hallucination_score_n
Baseline (GPT-4.1),GPT-4.1,Baseline,240,0.500415994273593,0.20446436450583827,0.0,0.9545454545454546,237,0.07420268107242897,0.1286418712455315,0.0,0.5,240
GRR (GPT-4.1),GPT-4.1,GRR,240,0.5041925453977281,0.2022049533985975,0.0,0.9411764705882352,237,0.05666666666666667,0.09865482985276264,0.0,0.38,240
GRTx (GPT-4.1),GPT-4.1,GRTx,240,0.48773683313432264,0.21225900794906552,0.0,1.0,239,0.09051360544217688,0.14208849407289964,0.0,0.56,240
Baseline (Llama 3.1 8B),Llama 3.1 8B,Baseline,240,0.34851679645150657,0.20287750393708465,0.0,0.875,237,0.2278599798893917,0.23883492189849004,0.0,0.76,240
GRR (Llama 3.1 8B),Llama 3.1 8B,GRR,240,0.2531988942636746,0.1851063627750309,0.0,0.7272727272727273,237,0.1912513338668801,0.23202841052721523,0.0,0.76,240
GRTx (Llama 3.1 8B),Llama 3.1 8B,GRTx,240,0.34318480130980134,0.23831088673617828,0.0,1.0,240,0.24623202614379083,0.2943098988079388,0.0,0.88,240
